State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work
Montana,Fergus,Montana_Fergus,157,15,4,4.7,6,18,31,7.6,21,66,9,17,17,917,9,12,30,1903,50,45,7731,1979,266,15,92741,594,15,58,69,5.3,14,63,5317
Montana,Flathead,Montana_Flathead,1296,14,3.8,4.6,6,17,28,8.7,19,69,33,247,20,8285,90,70,348,1718,43,44,68455,16823,3858,13,108122,3202,134,292,438,10.2,16,78,48826
Montana,Gallatin,Montana_Gallatin,696,12,3.4,4.1,8,12,23,9,16,76,26,442,7,8030,92,79,436,1929,43,49,69338,27581,3536,7,129978,3344,140,223,318,3.5,16,72,62786
Montana,Garfield,Montana_Garfield,1436.113089,16,4.1,4.9,8.21113307,20,30,7.7,23,9,3,593.7559524,26.14933965,155,0,0,1,4043.9236,26,30,692,185,20,27,92000,35,0,1,408.1056964,5.8,12,48,561
Montana,Glacier,Montana_Glacier,283,27,6,6,9,29,40,5.7,30,53,13,149,45,2210,11,6,30,4802,18,27,7195,1874,536,25,81426,1465,7,31,91,8.5,15,71,5083
Montana,Golden Valley,Montana_Golden Valley,1436.113089,17,4.3,4.9,8.21113307,20,32,4.6,24,1,1,0,26.14933965,76,1,0,0,1086,34,41,590,62,17,32,88900,1,0,2,408.1056964,5.6,13,62,353
Montana,Granite,Montana_Granite,1436.113089,15,3.8,4.6,8.21113307,18,29,5.5,22,33,3,12,26.14933965,307,1,0,316.050034,2962,40,38,2322,313,131,17,88289,53,3,5,14,5.8,10,63,1266
Montana,Hill,Montana_Hill,228,19,4.6,5.1,7,24,33,6.2,26,69,4,224,51,1723,8,14,64,2765,44,33,9442,2640,379,21,96330,1330,16,78,67,6.7,14,78,6916
Montana,Jefferson,Montana_Jefferson,183,13,3.6,4.4,7,16,30,8.4,19,42,6,21,11,843,9,6,10,2322,43,45,8323,1706,297,8,133962,372,7,37,62,6.1,9,73,5508
Montana,Judith Basin,Montana_Judith Basin,1436.113089,14,3.9,4.6,8.21113307,17,29,6.7,23,8,1,0,26.14933965,179,84.03515233,0,316.050034,642,51,42,1415,254,48,21,96538,170,0,4,408.1056964,5.1,11,54,934
Montana,Lake,Montana_Lake,482,19,4.6,5.1,8,21,34,8.2,22,49,25,174,32,3572,25,27,85,3090,41,34,19525,4121,844,24,102667,2233,29,131,158,10.1,17,74,12750
Montana,Lewis and Clark,Montana_Lewis and Clark,881,13,3.6,4.3,7,16,28,8.7,18,69,13,237,18,4363,67,62,354,2943,46,50,46263,12592,1813,11,125083,3331,146,282,308,8.8,11,74,35235
Montana,Liberty,Montana_Liberty,1436.113089,21,5,5.5,8,24,33,6.5,29,37,1,593.7559524,26.14933965,260,1,2,316.050034,1666,40,30,1263,350,27,22,105357,88,4,8,408.1056964,6.5,18,47,1117
Montana,Lincoln,Montana_Lincoln,344,18,4.5,5.1,6,20,34,7.7,25,43,8,39,21,1923,16,14,48,2562,37,23,13948,1835,819,28,91252,581,22,39,97,14.6,17,73,7086
Montana,McCone,Montana_McCone,1436.113089,15,3.9,4.7,8.21113307,19,31,8.4,23,6,2,0,26.14933965,204,0,0,316.050034,4043.9236,46,42,1234,247,28,16,101237,33,3,1,13,5.8,13,71,898
Montana,Madison,Montana_Madison,106,14,3.6,4.3,6,15,28,8.3,20,26,5,10,12,808,6,1,7,2681,40,25,6492,1320,232,13,101455,88,10,7,39,5.2,13,64,3845
Montana,Meagher,Montana_Meagher,1436.113089,16,4,4.7,8.21113307,19,30,4.8,23,13,2,593.7559524,26.14933965,125,2,0,3,3455,35,16,1295,168,45,22,104105,0,0,2,408.1056964,4.9,6,68,854
Montana,Mineral,Montana_Mineral,1436.113089,19,4.6,5.1,8,22,33,7.1,26,86,5,7,26,316,2,1,10,2328,40,26,3028,456,181,22,91553,113,4,4,22,9.1,11,69,1713
Montana,Missoula,Montana_Missoula,1228,13,3.7,4.4,7,16,26,8.4,18,86,24,515,10,8936,124,107,623,1953,47,52,77270,26555,4017,12,109660,4494,136,394,474,9.7,18,74,64937
Montana,Musselshell,Montana_Musselshell,1436.113089,18,4.4,5,9,21,31,7.6,26,51,1,7,22,441,84.03515233,77.17398427,2,3301,39,30,3209,399,143,25,87107,108,4,26,37,6,19,67,1734
Montana,Park,Montana_Park,227,14,3.8,4.5,9,17,29,7.8,20,54,12,28,9,1269,19,11,51,3609,33,29,12136,3072,665,12,104994,416,23,27,95,5.1,14,65,8391
Montana,Petroleum,Montana_Petroleum,1436.113089,14,3.8,4.5,8.21113307,17,30,6.2,22,5,1,593.7559524,26.14933965,33,0,0,0,3965,30,50,350,75,9,29,100136,24,0,408.619451,408.1056964,5.8,8,48,246
Montana,Phillips,Montana_Phillips,1436.113089,18,4.4,5,7,21,32,7.5,26,63,4,4,26,481,1,0,4,6599,39,29,2644,489,93,22,77944,46,3,10,20,5.8,8,60,1728
